state,scenario,year,hydro,gas_ct,gas_cc,coal,nuclear,geothermal,biomass,rooftop_pv,utility_pv,csp,onshore_wind,offshore_wind,load
Kentucky,25,2016,3040248.78,223683.53,0.00,95833962.79,0.00,0.00,489351.01,1298.63,0.00,0.00,16012.47,0.00,73982558.06
Louisiana,25,2016,403837.67,42850.72,7529000.96,24787763.15,16790270.98,0.00,647838.87,204609.01,0.00,0.00,0.00,0.00,76889123.92
Maine,25,2016,4019300.94,5043.22,4698974.67,176419.20,0.00,0.00,2084975.71,22203.16,0.00,0.00,1064936.48,0.00,12588022.90
Maryland,25,2016,1834543.72,75505.81,91411.20,29167081.34,13715216.64,0.00,1313867.39,23495.55,0.00,0.00,6563088.63,0.00,55802549.44
Massachusetts,25,2016,812127.33,34148.33,10310551.39,3598889.41,5412569.93,0.00,3324191.15,46866.72,0.00,0.00,747046.40,1967945.77,61284436.41
Michigan,25,2016,1391208.89,390082.67,7479540.55,86466849.16,31477805.57,0.00,1876377.56,5413.81,0.00,0.00,22481156.51,0.00,157138906.86
Minnesota,25,2016,16900158.26,18169.10,131396.61,25560965.46,12782423.81,0.00,1611939.86,16200.74,0.00,0.00,22533511.00,0.00,72535949.48
Mississippi,25,2016,0.00,194282.16,7924673.22,15844838.29,10007760.38,0.00,695916.02,5819.53,0.00,0.00,0.00,0.00,42631226.96
Missouri,25,2016,1526536.17,169609.42,929147.44,75027929.72,9406978.56,0.00,0.00,28470.30,0.00,0.00,816342.56,0.00,111923337.88
Montana,25,2016,9539659.93,0.00,0.00,14076065.86,0.00,0.00,0.00,34642.17,0.00,0.00,12095851.27,0.00,14116648.44
Nebraska,25,2016,807234.00,32307.35,130420.91,23683945.97,9789107.42,0.00,35905.57,9908.53,0.00,0.00,15125984.06,0.00,24425550.76
Nevada,25,2016,2155924.44,55919.63,12661056.05,19254926.47,0.00,1836947.43,0.00,339455.76,1362778.46,136458.75,7263916.50,0.00,37018236.61
New Hampshire,25,2016,1094256.22,0.00,768608.64,1025363.25,9644919.78,0.00,915803.94,6331.91,5535.22,0.00,124640.73,0.00,9619206.94
New Jersey,25,2016,29771.06,137488.88,6364928.27,14125247.57,31493615.62,0.00,2017219.76,200334.44,0.00,0.00,1312715.40,0.00,93634927.79
New Mexico,25,2016,203969.06,50823.14,308766.72,29324427.62,0.00,819068.58,47140.85,141990.21,2161879.54,381618.69,25164468.89,0.00,40930288.53
New York,25,2016,32260367.33,453729.13,17615430.74,28451502.25,40712454.60,0.00,4155511.89,273267.60,0.00,0.00,11652215.25,0.00,160139601.82
North Carolina,25,2016,4621919.17,191462.64,911240.34,67866945.59,39035008.51,0.00,1618369.71,69904.32,0.00,0.00,7338721.88,0.00,121255646.37
North Dakota,25,2016,2913175.35,0.00,0.00,21799138.55,0.00,0.00,0.00,1294.39,0.00,0.00,16758198.06,0.00,13574867.12
Ohio,25,2016,500949.67,296088.49,4386896.50,151758596.44,16663790.59,0.00,81494.70,3822.00,0.00,0.00,1799146.48,0.00,156936400.49
Oklahoma,25,2016,2608900.50,23167.48,6522094.16,39160253.74,0.00,0.00,0.00,31358.41,0.00,0.00,17441859.96,0.00,70279050.88
Oregon,25,2016,36950715.67,8110.03,3760223.22,4335411.60,0.00,744607.80,400832.10,131175.70,0.00,0.00,8967253.19,0.00,57270553.08
Pennsylvania,25,2016,2265275.39,132512.33,8045342.17,130842434.27,72686695.68,0.00,3312357.12,260148.46,0.00,0.00,5179147.35,0.00,190091820.75
Rhode Island,25,2016,9787.33,0.00,8393294.64,0.00,0.00,0.00,298373.13,35558.01,911829.82,0.00,56542.90,0.00,12603738.81
South Carolina,25,2016,2584177.11,97904.82,3435166.65,40135590.89,51161315.33,0.00,627172.20,7163.87,0.00,0.00,3279350.37,0.00,88562499.13
