,ZIP,State,Sun,Houses,Solar Fraction,Solar Houses
400,02446,MA,4.49,1258,0.018237976173,23.0
401,02451,MA,4.51,4086,0.018237976173,75.0
402,02452,MA,4.49,2160,0.018237976173,39.0
403,02453,MA,4.49,3679,0.018237976173,67.0
404,02458,MA,4.49,1929,0.018237976173,35.0
405,02459,MA,4.49,4775,0.018237976173,87.0
406,02460,MA,4.49,1658,0.018237976173,30.0
407,02461,MA,4.49,1683,0.018237976173,31.0
408,02462,MA,4.57,438,0.018237976173,8.0
409,02464,MA,4.57,400,0.018237976173,7.0
410,02465,MA,4.57,2800,0.018237976173,51.0
411,02466,MA,4.57,1407,0.018237976173,26.0
412,02467,MA,4.49,2937,0.018237976173,54.0
413,02468,MA,4.57,1719,0.018237976173,31.0
414,02472,MA,4.49,3714,0.018237976173,68.0
415,02474,MA,4.49,4486,0.018237976173,82.0
416,02476,MA,4.51,3899,0.018237976173,71.0
417,02478,MA,4.49,4409,0.018237976173,80.0
418,02481,MA,4.51,4456,0.018237976173,81.0
419,02482,MA,4.51,2871,0.018237976173,52.0
420,02492,MA,4.56,6039,0.018237976173,110.0
421,02493,MA,4.51,3287,0.018237976173,60.0
422,02494,MA,4.57,2392,0.018237976173,44.0
423,02532,MA,4.56,5047,0.018237976173,92.0
424,02534,MA,4.54,662,0.018237976173,12.0
425,02535,MA,4.55,2005,0.018237976173,37.0
426,02536,MA,4.54,11251,0.018237976173,205.0
427,02537,MA,4.44,2915,0.018237976173,53.0
428,02538,MA,4.53,1532,0.018237976173,28.0
429,02539,MA,4.53,4715,0.018237976173,86.0
430,02540,MA,4.54,4700,0.018237976173,86.0
431,02542,MA,4.54,216,0.018237976173,4.0
432,02543,MA,4.59,756,0.018237976173,14.0
433,02554,MA,4.47,8796,0.018237976173,160.0
434,02556,MA,4.54,2361,0.018237976173,43.0
435,02558,MA,4.56,1266,0.018237976173,23.0
436,02559,MA,4.54,2199,0.018237976173,40.0
437,02561,MA,4.59,228,0.018237976173,4.0
438,02562,MA,4.5,1774,0.018237976173,32.0
439,02563,MA,4.5,3945,0.018237976173,72.0
440,02564,MA,4.49,1106,0.018237976173,20.0
441,02568,MA,4.55,2407,0.018237976173,44.0
442,02571,MA,4.53,4438,0.018237976173,81.0
443,02575,MA,4.6,2202,0.018237976173,40.0
444,02576,MA,4.55,1383,0.018237976173,25.0
445,02601,MA,4.55,4888,0.018237976173,89.0
446,02630,MA,4.44,1270,0.018237976173,23.0
447,02631,MA,4.42,5672,0.018237976173,103.0
